id;"name";"short_name";"alias";"country";"picture";"thumbnail";"description";"checked_out";"checked_out_time";"published";"params";"last_modified_by";"mod_date";"drill_type";"year_name";"division_name";"full_results";"media";"date";"verified";"edit_link";"delete_drill";"add_edit_events";"abbrev"
50;"Point Pleasant Invitational Drill";"Point Pleasant Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Point Pleasant"
51;"Riverhead Invitational Drill";"Riverhead Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Riverhead"
52;"Rockville Centre Invitational Drill";"Rockville Centre Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"RVC Invite"
53;"Sea Breeze Invitational Drill";"Sea Breeze Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Sea Breeze"
54;"Selden Invitational Drill";"Selden Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Selden Invite"
55;"Sheridan Park/Point Invitational Drill";"Sheridan/Point Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Sheridan/Point"
56;"South Shore Drill";"South Shore Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"South Shore"
57;"Southern NY Drill";"Southern NY Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;;;;NULL;NULL;"Southern NY"
58;"Spencerport Invitational Drill";"Spencerport Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Spencerport"
59;"Suffolk County Drill";"Suffolk County Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Suffolk County"
60;"Theresa Invitational Drill";"Theresa Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Theresa"
61;"Town of Babylon Drill";"Town of Babylon Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Babylon Town"
62;"Town of Brookhaven Drill";"Town of Brookhaven";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Brookhaven Town"
63;"Town of Greece Drill";"Town of Greece Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Town of Greece "
64;"Town of Hempstead / 7th Battalion Drill";"TOH/7th Battalion Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"THempstd 7-Batt"
65;"Town of Hempstead Drill";"Town of Hempstead Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Hempstead Town"
66;"Town of Islip Drill";"Town of Islip Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Islip Town"
67;"Town of North Hempstead/Oyster Bay";"TNH/TOB Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Town NH/OB"
68;"Town of North Hempstead Drill";"Town of N Hempstead ";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Town of NH"
69;"Town of Oyster Bay Drill";"Town of Oyster Bay";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Oyster Bay Town"
70;"Tupper Lake Invitational Drill";"Tupper Lake Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Tupper Lake"
71;"Wellsville Invitational Drill";"Wellsville Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Wellsville"
72;"West Carthage Invitational Drill";"West Carthage Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"West Carthage"
73;"West Hempstead Labor Day Drill";"West Hemp Labor Day";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"West Hempstead"
74;"West Sayville Jr. Invitational Drill";"West Sayville Jr Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"W Sayville Jr"
75;"Westbury Invitational Drill";"Westbury Invite";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Westbury"
76;"Western NY Drill";"Western NY Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Western NY "
77;"William St. George Memorial Drill";"William St George Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"St George"
78;"WNY Charity Drill";"WNY Charity Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WNY Charity"
79;"Zach Bernstein Memorial OF Drill";"Zach Bernstein OF Drill";;;;;;"0";"0000-00-00 00:00:00";"1";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Bernstein OF"
